street_name,lat,lon
Hadsell Street,42.044296,-73.25623
Meadow Street,41.55098,-73.04081
Douglas Drive,42.009518,-72.57268
Cox Road,41.597107,-72.59902
Hendrie Lane,41.03279,-73.5837
Meadow Road,41.34584,-71.83588
Mallard Point Road,41.34081,-72.38736
Uconn Avenue,41.728424,-72.564255
Moses Road,42.017437,-73.07306
Aran Hill Road,41.206154,-73.30174
Moosehorn Road,41.67634,-73.13409
Spring Valley Road,41.219944,-73.39709
Housatonic Street,41.18212,-73.18892
Watson Court,41.081352,-73.43778
Burnside Avenue,41.77932,-72.61039
Hartz Lane,41.76178,-72.58626
Dogwood Drive,41.488552,-72.96235
Ames Road,41.58779,-72.01942
Hickory Lane,41.416798,-72.57117
Sperry Lane,41.328068,-72.82803
Maple Avenue,41.759377,-72.89032
Whitman Place,41.227203,-73.02063
Prospect Street,41.71672,-71.89342
Street Paul Street,41.56278,-73.027435
Maple Oak Drive,41.25784,-73.110115
Shelton Road No 2,41.416496,-73.131454
Finn Lane,41.65051,-71.89598
Boulder Circle,41.10326,-73.448006
West End Avenue,41.303234,-72.20677
Pleasant Street,41.055874,-73.53184
Ames Hollow Road,41.581367,-72.599884
Acadia Street,41.75267,-72.72738
State Highway 173,41.662647,-72.726814
Erickson Drive,41.82163,-72.93069
Murielle Drive,41.808384,-72.59657
Day Street South,41.951256,-72.83532
Cardinal Lane,41.18111,-73.3998
Laurel Drive,41.475006,-73.437386
Tyler Street,41.283962,-72.28433
State Street,41.540695,-72.7989
Primrose Lane,41.361008,-72.40584
East Street,41.63273,-73.28334
Oak Pond Lane,41.546345,-73.43896
Griswold Drive,41.88603,-72.667946
Deming Street,41.82071,-72.552864
Legend Drive,41.36853,-73.37394
Quincy Trail,41.596775,-72.74338
Edgewood Avenue,41.02328,-73.636894
Bird Lane,41.55265,-72.92756
West Con,41.513912,-72.90925
Virginia Avenue,41.210846,-73.17597
Shannon Ridge Road,41.38999,-73.47389
Raynor Avenue,41.235023,-73.21297
Crestwood Drive,41.315212,-72.73199
Cournoyer Road,41.936012,-71.91914
State Avenue,41.840782,-71.90539
Henry Street,41.662643,-72.64503
Broadway Road,42.012352,-72.41297
Coolidge Avenue,41.709248,-72.727806
Collins Street,41.3502,-72.93374
Little Boston Lane,41.276943,-73.41479
Culver Lane,41.585434,-72.58286
Manor Circle,41.732777,-72.58729
Vining Hill Road,41.997166,-72.80844
Hurd Road,41.295845,-73.1964
Cemetery Road,42.04488,-73.323296
Campfield Circle,41.212772,-73.03871
Two States Avenue,42.032852,-72.75325
